AIMSaircraftregistration;AIMSflighthours;AIMSflightcycles;AIMSdelays;AIMSdelayedminutes;AIMScancellations;date;AMOS_scheduledOutOfService;AMOS_unscheduledOutOfService
XY-PZC;2;1;0;0;2;16-03-2015;9;0
XY-PZC;1;1;1;29;1;16-03-2016;442;0
XY-ALV;0;0;0;0;1;17-02-2013;0;2006
XY-ALV;3;2;2;54;0;17-02-2011;0;3846
XY-PZC;0;0;0;0;1;16-03-2010;286;0
XY-ALV;4;2;2;23;0;17-02-2015;48;0
XY-ALV;0;0;0;0;2;17-02-2016;0;1
XY-PZC;0;0;0;0;2;16-03-2013;0;1
XY-MBJ;1;1;1;32;0;07-11-2012;0;0
XY-PZC;1;1;1;21;0;16-03-2011;671;0
XY-MBJ;0;1;1;28;0;07-11-2013;0;11
XY-PZC;0;0;0;0;1;16-03-2012;0;1576
XY-MBJ;0;1;1;42;1;10-04-2013;48;0
XY-MBJ;1;1;1;38;0;10-04-2011;24;0
XY-MBJ;0;0;0;0;1;10-04-2014;38;0
XY-IWX;1;2;2;34;0;21-03-2014;0;1
XY-OZH;0;0;0;0;2;14-02-2013;48;0
XY-OZH;1;1;1;31;1;14-02-2015;15;0
XY-NHZ;4;1;1;47;1;04-07-2013;0;1
XY-NHZ;1;1;1;33;2;04-07-2011;0;32
XY-OZH;0;0;0;0;1;14-02-2010;0;0
XY-OZH;2;1;1;26;0;14-02-2011;0;177
XY-NHZ;0;0;0;0;1;04-07-2015;22;0
XY-NHZ;0;1;1;25;1;04-07-2016;0;1
XY-NHZ;0;0;0;0;1;04-07-2010;7;0
XY-PZC;0;1;1;47;0;04-08-2013;0;0
XY-ZDY;3;1;1;17;1;12-12-2013;0;1
XY-PZC;0;0;0;0;1;04-08-2014;24;0
XY-ZDY;0;0;0;0;1;12-12-2014;0;0
XY-YTM;3;1;1;35;0;25-07-2013;0;1412
XY-PZC;0;0;0;0;1;04-08-2015;0;0
XY-YTM;0;1;0;0;1;25-07-2010;0;22
XY-PZC;2;1;1;30;0;04-08-2016;0;2004
XY-ZDY;3;1;0;0;0;12-12-2012;0;11
XY-YTM;0;1;1;38;1;25-07-2011;0;1
XY-JXR;0;0;0;0;2;19-12-2016;0;22
XY-ALV;0;0;0;0;2;05-07-2011;0;4037
XY-JXR;3;1;1;9;0;19-12-2013;476;0
XY-ALV;0;0;0;0;1;05-07-2012;0;459
XY-LQZ;0;0;0;0;1;12-07-2013;0;301
XY-LQZ;0;0;0;0;2;12-07-2012;13;0
XY-IWX;0;1;1;33;0;18-10-2014;370;0
XY-YTM;0;1;1;13;0;25-07-2016;8;0
XY-IWX;0;0;0;0;1;18-10-2012;0;0
XY-LQZ;2;1;1;38;0;12-07-2015;0;0
XY-LQZ;1;1;1;39;1;12-07-2016;48;0
XY-YTM;0;0;0;0;1;25-07-2015;0;653
XY-IWX;0;0;0;0;2;21-03-2013;0;22
XY-IWX;3;1;1;28;0;21-03-2010;0;11
XY-IWX;0;0;0;0;1;21-03-2011;25;0
XY-JXR;2;1;0;0;0;19-12-2012;6;0
XY-ZMF;0;0;0;0;1;04-04-2013;0;460
XY-JXR;0;0;0;0;4;19-12-2010;0;4790
XY-ZMF;0;0;0;0;1;04-04-2015;0;0
XY-PZC;0;0;0;0;1;04-08-2010;0;0
XY-PZC;0;0;0;0;2;04-08-2012;17;0
XY-IOO;0;2;2;25;0;05-05-2011;1384;0
XY-IOO;0;0;0;0;1;05-05-2012;24;0
XY-YTM;0;0;0;0;1;26-10-2011;0;0
XY-YTM;3;2;2;55;0;26-10-2010;0;1
XY-IOO;1;1;0;0;0;05-05-2015;0;11
XY-ZDY;0;0;0;0;1;12-12-2015;0;0
XY-FBA;0;0;0;0;1;31-08-2010;0;16
XY-FBA;1;3;1;18;1;31-08-2014;0;43
XY-FBA;1;1;1;32;0;31-08-2011;226;0
XY-FBA;0;0;0;0;1;31-08-2012;228;0
XY-NHZ;1;1;1;40;1;16-02-2010;395;0
XY-NHZ;1;1;1;18;0;16-02-2011;14;0
XY-NHZ;0;0;0;0;1;16-02-2012;24;0
XY-FBA;0;0;0;0;1;08-05-2016;64;0
XY-LYP;0;0;0;0;2;15-05-2016;21;0
XY-FBA;3;1;1;7;0;08-05-2015;0;11
XY-FBA;1;1;1;43;0;08-05-2012;0;0
XY-LYP;1;1;1;44;0;15-05-2013;0;0
XY-NHZ;1;1;1;45;1;16-02-2013;0;2804
XY-LYP;0;0;0;0;1;15-05-2012;0;11
XY-FBA;0;0;0;0;1;08-05-2010;24;0
XY-NHZ;2;1;1;14;1;16-02-2015;39;0
XY-LYP;2;1;1;38;0;15-05-2014;0;0
XY-LYP;4;2;2;74;0;15-05-2011;0;1146
XY-LYP;1;1;1;27;0;15-05-2010;0;0
