AIMSflightid;AIMSaircraftregistration;AIMSflighthours;AIMSflightcycles;AIMSdelays;AIMSdelayedminutes;AIMScancellations;AIMSdate;AMOSscheduledoutofservice;AMOSunscheduledoutofservice
010110-ABZ-LBA-6977-XY-NHZ;XY-NHZ;0;0;0;0;1;01-01-2010;0.0;0.47
010110-AGP-BLQ-4941-XY-OFW;XY-OFW;0;0;0;0;1;01-01-2010;0.0;1995.2
010110-BIO-BEG-5966-XY-ZDY;XY-ZDY;0;0;0;0;1;01-01-2010;0.0;0.47
010110-CRL-BGY-9446-XY-OHF;XY-OHF;0;0;0;0;1;01-01-2010;0.0;539.7
010110-CWL-AAR-3386-XY-ALV;XY-ALV;0;0;0;0;1;01-01-2010;0.0;0.47
010110-FMM-SOF-5574-XY-OZH;XY-OZH;0;1;1;24;0;01-01-2010;0.0;1859.23
010110-KGS-NCE-1561-XY-YAZ;XY-YAZ;0;0;0;0;1;01-01-2010;0.0;1424.62
010110-LYS-DUB-8789-XY-OFW;XY-OFW;0;0;0;0;1;01-01-2010;0.0;1995.2
010110-MUC-LGW-7782-XY-JXR;XY-JXR;2;1;1;34;0;01-01-2010;11.0;0.0
010110-SZG-AAL-7852-XY-PZC;XY-PZC;0;0;0;0;1;01-01-2010;686.52;0.0
010110-SZG-CFU-9861-XY-IWX;XY-IWX;0;1;1;25;0;01-01-2010;0.0;10.81
010110-VCE-HAM-1864-XY-JXR;XY-JXR;0;0;0;0;1;01-01-2010;11.0;0.0
010111-ABZ-TRD-9438-XY-IOO;XY-IOO;0;0;0;0;1;01-01-2011;24.0;0.0
010111-ADB-RTM-3719-XY-FBA;XY-FBA;0;0;0;0;1;01-01-2011;2.73;0.0
010111-AJA-CDG-3819-XY-MBJ;XY-MBJ;0;0;0;0;1;01-01-2011;0.0;0.47
010111-ARN-POZ-6279-XY-PZC;XY-PZC;2;1;1;9;0;01-01-2011;0.0;0.47
010111-BEG-CAG-6975-XY-IWX;XY-IWX;0;0;0;0;1;01-01-2011;0.0;1415.32
010111-BMA-FUE-4772-XY-IOO;XY-IOO;0;0;0;0;1;01-01-2011;24.0;0.0
010111-BOJ-AER-7127-XY-LQZ;XY-LQZ;0;0;0;0;1;01-01-2011;0.0;468.13
010111-BRI-FAE-5715-XY-FBA;XY-FBA;0;0;0;0;1;01-01-2011;2.73;0.0
010111-FSC-VST-8579-XY-YTM;XY-YTM;1;1;1;12;0;02-01-2011;0.0;0.47
010111-JTR-SPU-8873-XY-IOO;XY-IOO;0;1;1;44;0;01-01-2011;24.0;0.0
010111-LHR-BES-7137-XY-IWX;XY-IWX;0;0;0;0;1;01-01-2011;0.0;1415.32
010111-LNZ-CAG-6722-XY-CMJ;XY-CMJ;3;1;1;36;0;01-01-2011;0.0;590.52
010111-MAH-TFS-9147-XY-ZMF;XY-ZMF;0;1;1;14;0;01-01-2011;0.0;10.81
010111-MXP-NRN-7466-XY-ZDY;XY-ZDY;0;0;0;0;1;01-01-2011;9.87;0.0
010111-SOU-TIA-3591-XY-LQZ;XY-LQZ;3;1;1;21;0;01-01-2011;0.0;468.13
010111-TIA-MAN-1556-XY-YTM;XY-YTM;1;1;1;24;0;01-01-2011;499.17;0.0
010111-TKU-CDG-4174-XY-MBJ;XY-MBJ;0;0;0;0;1;01-01-2011;0.0;0.47
010111-TRF-BHD-6842-XY-LYP;XY-LYP;1;1;1;44;0;01-01-2011;0.0;10.81
010111-TSR-KTW-8293-XY-PZC;XY-PZC;0;0;0;0;1;01-01-2011;0.0;0.47
